iterations,fitness,time
3820,3712.86638403,4.956239693
3830,3699.42592616,4.967996097
3840,3713.11717431,4.980377671
3850,3689.98332604,4.992356353
3860,3692.17792704,5.006135452
3870,3712.48877396,5.018481589
3880,3706.51779221,5.029663802
3890,3694.37252803,5.04104829
3900,3689.98332604,5.053325059
3910,3701.55025017,5.065286099
3920,3719.7009773,5.076803992
3930,3689.99237228,5.088548557
3940,3696.56712903,5.100701919
3950,3700.07685284,5.112213167
3960,3689.98332604,5.123681507
3970,3704.11349612,5.13615702
3980,3713.11717431,5.149831501
3990,3716.44020523,5.162927116
4000,3694.37252803,5.175823904
4010,3716.44020523,5.191922061
4020,3696.56712903,5.204557499
4030,3701.55025017,5.218386549
4040,3689.98332604,5.232718437
4050,3689.98332604,5.245291167
4060,3701.55025017,5.25821437
4070,3696.56712903,5.270228311
4080,3700.11677618,5.282285035
4090,3713.11717431,5.29381673
4100,3713.11717431,5.308886256
4110,3713.11717431,5.325114539
4120,3689.98332604,5.33768719
4130,3713.11717431,5.349320878
4140,3713.11717431,5.360312567
4150,3701.55025017,5.371432117
4160,3713.11717431,5.383587597
4170,3701.55025017,5.395613556
4180,3701.54120393,5.406785444
4190,3713.11717431,5.418275322
4200,3713.11717431,5.429621967
4210,3689.98332604,5.441349045
4220,3689.99237228,5.452811413
4230,3716.44020523,5.464697139
4240,3689.98332604,5.476979576
4250,3713.11717431,5.49187251
4260,3716.44020523,5.50683189
4270,3716.44020523,5.519856069
4280,3689.99237228,5.532669458
4290,3689.98332604,5.544338831
4300,3716.44020523,5.555947591
4310,3713.11717431,5.567318951
4320,3696.56712903,5.578298907
4330,3713.11717431,5.589592485
4340,3701.55025017,5.601264938
4350,3713.11717431,5.612967295
4360,3689.98332604,5.624476816
4370,3713.11717431,5.63585105
4380,3716.44020523,5.647415015
4390,3689.98332604,5.66144219
4400,3689.98332604,5.67270724
4410,3713.11717431,5.683924559
4420,3689.98332604,5.696030279
4430,3689.98332604,5.709499827
4440,3696.56712903,5.721154216
4450,3697.38372646,5.732088593
4460,3696.56712903,5.743024368
4470,3689.98332604,5.754213738
4480,3713.11717431,5.766359926
4490,3716.44020523,5.778661533
4500,3716.44020523,5.790452755
4510,3689.98332604,5.802642988
4520,3696.56712903,5.814188506
4530,3713.11717431,5.825559825
4540,3689.99237228,5.836830777
4550,3701.55025017,5.848149648
4560,3689.98332604,5.859142183
4570,3689.98332604,5.870685804
4580,3716.44020523,5.882643122
4590,3716.44020523,5.894318595
4600,3716.44020523,5.90582199
4610,3713.11717431,5.9176751
4620,3696.56712903,5.929782053
4630,3701.55025017,5.94153846
4640,3689.98332604,5.953843307
4650,3716.44020523,5.965967181
4660,3716.44020523,5.978067348
4670,3716.44020523,5.989808282
4680,3692.17792704,6.001469143
4690,3701.55025017,6.013237407
4700,3713.11717431,6.024998432
4710,3689.98332604,6.03601558
4720,3696.56712903,6.047694719
4730,3701.55025017,6.059562236
4740,3723.96091228,6.070692644
4750,3694.37252803,6.08186578
4760,3701.55025017,6.09315594
4770,3696.56712903,6.10507766
4780,3694.37252803,6.116792242
4790,3689.98332604,6.128250818
4800,3689.98332604,6.140150073
4810,3689.99237228,6.151117918
4820,3689.98332604,6.163240267
4830,3716.44020523,6.174561257
4840,3689.98332604,6.186093932
4850,3716.44020523,6.198195292
4860,3696.56712903,6.212987092
4870,3694.37252803,6.224859483
4880,3698.90063198,6.236548489
4890,3689.98332604,6.25015693
4900,3689.99237228,6.261772565
4910,3689.99237228,6.274357622
4920,3701.23605,6.28702135
4930,3713.11717431,6.298698775
4940,3689.98332604,6.309863422
4950,3703.74485117,6.324799127
4960,3716.44020523,6.336660426
4970,3716.44020523,6.348168563
4980,3701.55025017,6.359763466
4990,3716.44020523,6.372816132
